Scene_ID,Chapitre,Description,Prompt_Whisk,Prompt_Flow,Prompt_Midjourney
P01,Hook,"Portrait — Abdelkrim El Khattabi, close-up face, intense determined gaze","Cinematic historical portrait/scene, Abdelkrim El Khattabi, close-up face, intense determined gaze, Rif, early 20th-century documentary realism, dramatic lighting, high detail, photorealistic, --ar 16:9","Abdelkrim El Khattabi, close-up face, intense determined gaze. Style: epic historical documentary, volumetric light, muted earthy palette, motion-ready composition, 16:9","Abdelkrim El Khattabi, close-up face, intense determined gaze, historical documentary, cinematic lighting, ultra detailed, 35mm film, dramatic mood --ar 16:9 --style raw"
P02,Contexte,"Portrait — Abdelkrim El Khattabi in traditional Rifian dress, half body","Cinematic historical portrait/scene, Abdelkrim El Khattabi in traditional Rifian dress, half body, Rif, early 20th-century documentary realism, dramatic lighting, high detail, photorealistic, --ar 16:9","Abdelkrim El Khattabi in traditional Rifian dress, half body. Style: epic historical documentary, volumetric light, muted earthy palette, motion-ready composition, 16:9","Abdelkrim El Khattabi in traditional Rifian dress, half body, historical documentary, cinematic lighting, ultra detailed, 35mm film, dramatic mood --ar 16:9 --style raw"
P03,Ascension,"Portrait — Abdelkrim El Khattabi as a young judge and journalist, resolute","Cinematic historical portrait/scene, Abdelkrim El Khattabi as a young judge and journalist, resolute, Rif, early 20th-century documentary realism, dramatic lighting, high detail, photorealistic, --ar 16:9","Abdelkrim El Khattabi as a young judge and journalist, resolute. Style: epic historical documentary, volumetric light, muted earthy palette, motion-ready composition, 16:9","Abdelkrim El Khattabi as a young judge and journalist, resolute, historical documentary, cinematic lighting, ultra detailed, 35mm film, dramatic mood --ar 16:9 --style raw"
P04,Guerre,"Portrait — Abdelkrim El Khattabi in war council with tribal leaders","Cinematic historical portrait/scene, Abdelkrim El Khattabi in war council with tribal leaders, Rif, early 20th-century documentary realism, dramatic lighting, high detail, photorealistic, --ar 16:9","Abdelkrim El Khattabi in war council with tribal leaders. Style: epic historical documentary, volumetric light, muted earthy palette, motion-ready composition, 16:9","Abdelkrim El Khattabi in war council with tribal leaders, historical documentary, cinematic lighting, ultra detailed, 35mm film, dramatic mood --ar 16:9 --style raw"
P05,Contre-offensive,"Portrait — Abdelkrim El Khattabi leading fighters in the mountains","Cinematic historical portrait/scene, Abdelkrim El Khattabi leading fighters in the mountains, Rif, early 20th-century documentary realism, dramatic lighting, high detail, photorealistic, --ar 16:9","Abdelkrim El Khattabi leading fighters in the mountains. Style: epic historical documentary, volumetric light, muted earthy palette, motion-ready composition, 16:9","Abdelkrim El Khattabi leading fighters in the mountains, historical documentary, cinematic lighting, ultra detailed, 35mm film, dramatic mood --ar 16:9 --style raw"
P06,Chute,"Portrait — Abdelkrim El Khattabi weary after surrender, dignified","Cinematic historical portrait/scene, Abdelkrim El Khattabi weary after surrender, dignified, Rif, early 20th-century documentary realism, dramatic lighting, high detail, photorealistic, --ar 16:9","Abdelkrim El Khattabi weary after surrender, dignified. Style: epic historical documentary, volumetric light, muted earthy palette, motion-ready composition, 16:9","Abdelkrim El Khattabi weary after surrender, dignified, historical documentary, cinematic lighting, ultra detailed, 35mm film, dramatic mood --ar 16:9 --style raw"
P07,Oubli,"Portrait — Abdelkrim El Khattabi portrait in profile, symbolic","Cinematic historical portrait/scene, Abdelkrim El Khattabi portrait in profile, symbolic, Rif, early 20th-century documentary realism, dramatic lighting, high detail, photorealistic, --ar 16:9","Abdelkrim El Khattabi portrait in profile, symbolic. Style: epic historical documentary, volumetric light, muted earthy palette, motion-ready composition, 16:9","Abdelkrim El Khattabi portrait in profile, symbolic, historical documentary, cinematic lighting, ultra detailed, 35mm film, dramatic mood --ar 16:9 --style raw"
P08,Héritage,"Portrait — M'Hammad Abdelkrim, brother and commander","Cinematic historical portrait/scene, M'Hammad Abdelkrim, brother and commander, Rif, early 20th-century documentary realism, dramatic lighting, high detail, photorealistic, --ar 16:9","M'Hammad Abdelkrim, brother and commander. Style: epic historical documentary, volumetric light, muted earthy palette, motion-ready composition, 16:9","M'Hammad Abdelkrim, brother and commander, historical documentary, cinematic lighting, ultra detailed, 35mm film, dramatic mood --ar 16:9 --style raw"
P09,Hook,"Portrait — General Silvestre, Spanish commander at Anoual","Cinematic historical portrait/scene, General Silvestre, Spanish commander at Anoual, Rif, early 20th-century documentary realism, dramatic lighting, high detail, photorealistic, --ar 16:9","General Silvestre, Spanish commander at Anoual. Style: epic historical documentary, volumetric light, muted earthy palette, motion-ready composition, 16:9","General Silvestre, Spanish commander at Anoual, historical documentary, cinematic lighting, ultra detailed, 35mm film, dramatic mood --ar 16:9 --style raw"
P10,Contexte,"Portrait — Abdelkrim El Khattabi in exile, reflective","Cinematic historical portrait/scene, Abdelkrim El Khattabi in exile, reflective, Rif, early 20th-century documentary realism, dramatic lighting, high detail, photorealistic, --ar 16:9","Abdelkrim El Khattabi in exile, reflective. Style: epic historical documentary, volumetric light, muted earthy palette, motion-ready composition, 16:9","Abdelkrim El Khattabi in exile, reflective, historical documentary, cinematic lighting, ultra detailed, 35mm film, dramatic mood --ar 16:9 --style raw"
