Scene_ID,Chapitre,Description,Prompt_Whisk,Prompt_Flow,Prompt_Midjourney
P01,Hook,"Portrait — Soundiata Keïta, close-up face, intense determined gaze","Cinematic historical portrait/scene, Soundiata Keïta, close-up face, intense determined gaze, Empire du Mali, medieval West African epic realism, dramatic lighting, high detail, photorealistic, --ar 16:9","Soundiata Keïta, close-up face, intense determined gaze. Style: epic historical documentary, volumetric light, muted earthy palette, motion-ready composition, 16:9","Soundiata Keïta, close-up face, intense determined gaze, medieval West African epic, cinematic lighting, ultra detailed, dramatic mood --ar 16:9 --style raw"
P02,Contexte,"Portrait — Soundiata Keïta in royal Mandé regalia, half body","Cinematic historical portrait/scene, Soundiata Keïta in royal Mandé regalia, half body, Empire du Mali, medieval West African epic realism, dramatic lighting, high detail, photorealistic, --ar 16:9","Soundiata Keïta in royal Mandé regalia, half body. Style: epic historical documentary, volumetric light, muted earthy palette, motion-ready composition, 16:9","Soundiata Keïta in royal Mandé regalia, half body, medieval West African epic, cinematic lighting, ultra detailed, dramatic mood --ar 16:9 --style raw"
P03,Ascension,"Portrait — young Soundiata overcoming his disability, rising","Cinematic historical portrait/scene, young Soundiata overcoming his disability rising, Empire du Mali, medieval West African epic realism, dramatic lighting, high detail, photorealistic, --ar 16:9","young Soundiata overcoming his disability, rising. Style: epic historical documentary, volumetric light, muted earthy palette, motion-ready composition, 16:9","young Soundiata overcoming his disability rising, medieval West African epic, cinematic lighting, ultra detailed, dramatic mood --ar 16:9 --style raw"
P04,Guerre,"Portrait — Soundiata in council with clan leaders","Cinematic historical portrait/scene, Soundiata in council with clan leaders, Empire du Mali, medieval West African epic realism, dramatic lighting, high detail, photorealistic, --ar 16:9","Soundiata in council with clan leaders. Style: epic historical documentary, volumetric light, muted earthy palette, motion-ready composition, 16:9","Soundiata in council with clan leaders, medieval West African epic, cinematic lighting, ultra detailed, dramatic mood --ar 16:9 --style raw"
P05,Contre-offensive,"Portrait — Soundiata in war attire before Kirina","Cinematic historical portrait/scene, Soundiata in war attire before Kirina, Empire du Mali, medieval West African epic realism, dramatic lighting, high detail, photorealistic, --ar 16:9","Soundiata in war attire before Kirina. Style: epic historical documentary, volumetric light, muted earthy palette, motion-ready composition, 16:9","Soundiata in war attire before Kirina, medieval West African epic, cinematic lighting, ultra detailed, dramatic mood --ar 16:9 --style raw"
P06,Chute,"Portrait — Soundiata enthroned as Mansa, dignified","Cinematic historical portrait/scene, Soundiata enthroned as Mansa, dignified, Empire du Mali, medieval West African epic realism, dramatic lighting, high detail, photorealistic, --ar 16:9","Soundiata enthroned as Mansa, dignified. Style: epic historical documentary, volumetric light, muted earthy palette, motion-ready composition, 16:9","Soundiata enthroned as Mansa, dignified, medieval West African epic, cinematic lighting, ultra detailed, dramatic mood --ar 16:9 --style raw"
P07,Oubli,"Portrait — Soundiata Keïta in profile, symbolic","Cinematic historical portrait/scene, Soundiata Keïta in profile, symbolic, Empire du Mali, medieval West African epic realism, dramatic lighting, high detail, photorealistic, --ar 16:9","Soundiata Keïta in profile, symbolic. Style: epic historical documentary, volumetric light, muted earthy palette, motion-ready composition, 16:9","Soundiata Keïta in profile, symbolic, medieval West African epic, cinematic lighting, ultra detailed, dramatic mood --ar 16:9 --style raw"
P08,Héritage,"Portrait — Balla Fasséké, the griot and counselor","Cinematic historical portrait/scene, Balla Fasséké the griot and counselor, Empire du Mali, medieval West African epic realism, dramatic lighting, high detail, photorealistic, --ar 16:9","Balla Fasséké, the griot and counselor. Style: epic historical documentary, volumetric light, muted earthy palette, motion-ready composition, 16:9","Balla Fasséké the griot and counselor, medieval West African epic, cinematic lighting, ultra detailed, dramatic mood --ar 16:9 --style raw"
P09,Hook,"Portrait — Soumaoro Kanté, the Sosso king, menacing","Cinematic historical portrait/scene, Soumaoro Kanté the Sosso king menacing, Empire du Mali, medieval West African epic realism, dramatic lighting, high detail, photorealistic, --ar 16:9","Soumaoro Kanté, the Sosso king, menacing. Style: epic historical documentary, volumetric light, muted earthy palette, motion-ready composition, 16:9","Soumaoro Kanté the Sosso king menacing, medieval West African epic, cinematic lighting, ultra detailed, dramatic mood --ar 16:9 --style raw"
P10,Contexte,"Portrait — Soundiata as elder emperor, reflective","Cinematic historical portrait/scene, Soundiata as elder emperor, reflective, Empire du Mali, medieval West African epic realism, dramatic lighting, high detail, photorealistic, --ar 16:9","Soundiata as elder emperor, reflective. Style: epic historical documentary, volumetric light, muted earthy palette, motion-ready composition, 16:9","Soundiata as elder emperor, reflective, medieval West African epic, cinematic lighting, ultra detailed, dramatic mood --ar 16:9 --style raw"
S01,Ascension,"Scène historique — royal court of the Mandé, ceremony","Cinematic historical portrait/scene, royal court of the Mandé ceremony, Empire du Mali, medieval West African epic realism, dramatic lighting, high detail, photorealistic, --ar 16:9","royal court of the Mandé, ceremony. Style: epic historical documentary, volumetric light, muted earthy palette, motion-ready composition, 16:9","royal court of the Mandé ceremony, medieval West African epic, cinematic lighting, ultra detailed, dramatic mood --ar 16:9 --style raw"
S02,Guerre,"Scène historique — daily life in the Mandé before the war","Cinematic historical portrait/scene, daily life in the Mandé before the war, Empire du Mali, medieval West African epic realism, dramatic lighting, high detail, photorealistic, --ar 16:9","daily life in the Mandé before the war. Style: epic historical documentary, volumetric light, muted earthy palette, motion-ready composition, 16:9","daily life in the Mandé before the war, medieval West African epic, cinematic lighting, ultra detailed, dramatic mood --ar 16:9 --style raw"
S03,Contre-offensive,"Scène historique — Soundiata's coalition army marching","Cinematic historical portrait/scene, Soundiata's coalition army marching, Empire du Mali, medieval West African epic realism, dramatic lighting, high detail, photorealistic, --ar 16:9","Soundiata's coalition army marching. Style: epic historical documentary, volumetric light, muted earthy palette, motion-ready composition, 16:9","Soundiata's coalition army marching, medieval West African epic, cinematic lighting, ultra detailed, dramatic mood --ar 16:9 --style raw"
S04,Chute,"Scène historique — Battle of Kirina, cavalry and archers in chaos","Cinematic historical portrait/scene, Battle of Kirina cavalry and archers in chaos, Empire du Mali, medieval West African epic realism, dramatic lighting, high detail, photorealistic, --ar 16:9","Battle of Kirina, cavalry and archers in chaos. Style: epic historical documentary, volumetric light, muted earthy palette, motion-ready composition, 16:9","Battle of Kirina cavalry and archers in chaos, medieval West African epic, cinematic lighting, ultra detailed, dramatic mood --ar 16:9 --style raw"
