Scene_ID,Chapitre,Description,Prompt_Whisk,Prompt_Flow,Prompt_Midjourney
P01,Hook,"Portrait — Yaa Asantewaa, close-up face, intense determined gaze","Cinematic historical portrait/scene, Yaa Asantewaa, close-up face, intense determined gaze, Empire Ashanti, 19th-century documentary realism, dramatic lighting, high detail, photorealistic, --ar 16:9","Yaa Asantewaa, close-up face, intense determined gaze. Style: epic historical documentary, volumetric light, muted earthy palette, motion-ready composition, 16:9","Yaa Asantewaa, close-up face, intense determined gaze, historical documentary, cinematic lighting, ultra detailed, 35mm film, dramatic mood --ar 16:9 --style raw"
P02,Contexte,"Portrait — Yaa Asantewaa in royal/traditional regalia, half body","Cinematic historical portrait/scene, Yaa Asantewaa in royal/traditional regalia, half body, Empire Ashanti, 19th-century documentary realism, dramatic lighting, high detail, photorealistic, --ar 16:9","Yaa Asantewaa in royal/traditional regalia, half body. Style: epic historical documentary, volumetric light, muted earthy palette, motion-ready composition, 16:9","Yaa Asantewaa in royal/traditional regalia, half body, historical documentary, cinematic lighting, ultra detailed, 35mm film, dramatic mood --ar 16:9 --style raw"
P03,Ascension,"Portrait — Yaa Asantewaa as a determined queen mother, resolute","Cinematic historical portrait/scene, Yaa Asantewaa as a determined queen mother, resolute, Empire Ashanti, 19th-century documentary realism, dramatic lighting, high detail, photorealistic, --ar 16:9","Yaa Asantewaa as a determined queen mother, resolute. Style: epic historical documentary, volumetric light, muted earthy palette, motion-ready composition, 16:9","Yaa Asantewaa as a determined queen mother, resolute, historical documentary, cinematic lighting, ultra detailed, 35mm film, dramatic mood --ar 16:9 --style raw"
P04,Guerre,"Portrait — Yaa Asantewaa in council of chiefs","Cinematic historical portrait/scene, Yaa Asantewaa in council of chiefs, Empire Ashanti, 19th-century documentary realism, dramatic lighting, high detail, photorealistic, --ar 16:9","Yaa Asantewaa in council of chiefs. Style: epic historical documentary, volumetric light, muted earthy palette, motion-ready composition, 16:9","Yaa Asantewaa in council of chiefs, historical documentary, cinematic lighting, ultra detailed, 35mm film, dramatic mood --ar 16:9 --style raw"
P05,Contre-offensive,"Portrait — Yaa Asantewaa rallying warriors before battle","Cinematic historical portrait/scene, Yaa Asantewaa rallying warriors before battle, Empire Ashanti, 19th-century documentary realism, dramatic lighting, high detail, photorealistic, --ar 16:9","Yaa Asantewaa rallying warriors before battle. Style: epic historical documentary, volumetric light, muted earthy palette, motion-ready composition, 16:9","Yaa Asantewaa rallying warriors before battle, historical documentary, cinematic lighting, ultra detailed, 35mm film, dramatic mood --ar 16:9 --style raw"
P06,Chute,"Portrait — Yaa Asantewaa weary after defeat, dignified","Cinematic historical portrait/scene, Yaa Asantewaa weary after defeat, dignified, Empire Ashanti, 19th-century documentary realism, dramatic lighting, high detail, photorealistic, --ar 16:9","Yaa Asantewaa weary after defeat, dignified. Style: epic historical documentary, volumetric light, muted earthy palette, motion-ready composition, 16:9","Yaa Asantewaa weary after defeat, dignified, historical documentary, cinematic lighting, ultra detailed, 35mm film, dramatic mood --ar 16:9 --style raw"
P07,Oubli,"Portrait — Yaa Asantewaa portrait in profile, symbolic","Cinematic historical portrait/scene, Yaa Asantewaa portrait in profile, symbolic, Empire Ashanti, 19th-century documentary realism, dramatic lighting, high detail, photorealistic, --ar 16:9","Yaa Asantewaa portrait in profile, symbolic. Style: epic historical documentary, volumetric light, muted earthy palette, motion-ready composition, 16:9","Yaa Asantewaa portrait in profile, symbolic, historical documentary, cinematic lighting, ultra detailed, 35mm film, dramatic mood --ar 16:9 --style raw"
P08,Héritage,"Portrait — an Ashanti chief, ally of the revolt","Cinematic historical portrait/scene, an Ashanti chief, ally of the revolt, Empire Ashanti, 19th-century documentary realism, dramatic lighting, high detail, photorealistic, --ar 16:9","an Ashanti chief, ally of the revolt. Style: epic historical documentary, volumetric light, muted earthy palette, motion-ready composition, 16:9","an Ashanti chief, ally of the revolt, historical documentary, cinematic lighting, ultra detailed, 35mm film, dramatic mood --ar 16:9 --style raw"
P09,Hook,"Portrait — Governor Frederick Hodgson, British adversary","Cinematic historical portrait/scene, Governor Frederick Hodgson, British adversary, Empire Ashanti, 19th-century documentary realism, dramatic lighting, high detail, photorealistic, --ar 16:9","Governor Frederick Hodgson, British adversary. Style: epic historical documentary, volumetric light, muted earthy palette, motion-ready composition, 16:9","Governor Frederick Hodgson, British adversary, historical documentary, cinematic lighting, ultra detailed, 35mm film, dramatic mood --ar 16:9 --style raw"
P10,Contexte,"Portrait — Yaa Asantewaa as elder in exile, reflective","Cinematic historical portrait/scene, Yaa Asantewaa as elder in exile, reflective, Empire Ashanti, 19th-century documentary realism, dramatic lighting, high detail, photorealistic, --ar 16:9","Yaa Asantewaa as elder in exile, reflective. Style: epic historical documentary, volumetric light, muted earthy palette, motion-ready composition, 16:9","Yaa Asantewaa as elder in exile, reflective, historical documentary, cinematic lighting, ultra detailed, 35mm film, dramatic mood --ar 16:9 --style raw"
