Scene_ID,Chapitre,Description,Prompt_Whisk,Prompt_Flow,Prompt_Midjourney
P01,Hook,"Portrait — Ménélik II, close-up face, intense determined gaze","Cinematic historical portrait/scene, Ménélik II, close-up face, intense determined gaze, Empire d'Éthiopie, 19th-century documentary realism, dramatic lighting, high detail, photorealistic, --ar 16:9","Ménélik II, close-up face, intense determined gaze. Style: epic historical documentary, volumetric light, muted earthy palette, motion-ready composition, 16:9","Ménélik II, close-up face, intense determined gaze, historical documentary, cinematic lighting, ultra detailed, 35mm film, dramatic mood --ar 16:9 --style raw"
P02,Contexte,"Portrait — Ménélik II in royal/traditional regalia, half body","Cinematic historical portrait/scene, Ménélik II in royal/traditional regalia, half body, Empire d'Éthiopie, 19th-century documentary realism, dramatic lighting, high detail, photorealistic, --ar 16:9","Ménélik II in royal/traditional regalia, half body. Style: epic historical documentary, volumetric light, muted earthy palette, motion-ready composition, 16:9","Ménélik II in royal/traditional regalia, half body, historical documentary, cinematic lighting, ultra detailed, 35mm film, dramatic mood --ar 16:9 --style raw"
P03,Ascension,"Portrait — Ménélik II as a young leader, hopeful expression","Cinematic historical portrait/scene, Ménélik II as a young leader, hopeful expression, Empire d'Éthiopie, 19th-century documentary realism, dramatic lighting, high detail, photorealistic, --ar 16:9","Ménélik II as a young leader, hopeful expression. Style: epic historical documentary, volumetric light, muted earthy palette, motion-ready composition, 16:9","Ménélik II as a young leader, hopeful expression, historical documentary, cinematic lighting, ultra detailed, 35mm film, dramatic mood --ar 16:9 --style raw"
P04,Guerre,"Portrait — Ménélik II in council with advisors","Cinematic historical portrait/scene, Ménélik II in council with advisors, Empire d'Éthiopie, 19th-century documentary realism, dramatic lighting, high detail, photorealistic, --ar 16:9","Ménélik II in council with advisors. Style: epic historical documentary, volumetric light, muted earthy palette, motion-ready composition, 16:9","Ménélik II in council with advisors, historical documentary, cinematic lighting, ultra detailed, 35mm film, dramatic mood --ar 16:9 --style raw"
P05,Contre-offensive,"Portrait — Ménélik II in war attire before battle","Cinematic historical portrait/scene, Ménélik II in war attire before battle, Empire d'Éthiopie, 19th-century documentary realism, dramatic lighting, high detail, photorealistic, --ar 16:9","Ménélik II in war attire before battle. Style: epic historical documentary, volumetric light, muted earthy palette, motion-ready composition, 16:9","Ménélik II in war attire before battle, historical documentary, cinematic lighting, ultra detailed, 35mm film, dramatic mood --ar 16:9 --style raw"
P06,Chute,"Portrait — Empress Taytu Betul, strategist at Adwa","Cinematic historical portrait/scene, Empress Taytu Betul, strategist at Adwa, Empire d'Éthiopie, 19th-century documentary realism, dramatic lighting, high detail, photorealistic, --ar 16:9","Empress Taytu Betul, strategist at Adwa. Style: epic historical documentary, volumetric light, muted earthy palette, motion-ready composition, 16:9","Empress Taytu Betul, strategist at Adwa, historical documentary, cinematic lighting, ultra detailed, 35mm film, dramatic mood --ar 16:9 --style raw"
P07,Oubli,"Portrait — Ménélik II portrait in profile, symbolic","Cinematic historical portrait/scene, Ménélik II portrait in profile, symbolic, Empire d'Éthiopie, 19th-century documentary realism, dramatic lighting, high detail, photorealistic, --ar 16:9","Ménélik II portrait in profile, symbolic. Style: epic historical documentary, volumetric light, muted earthy palette, motion-ready composition, 16:9","Ménélik II portrait in profile, symbolic, historical documentary, cinematic lighting, ultra detailed, 35mm film, dramatic mood --ar 16:9 --style raw"
P08,Héritage,"Portrait — Ras Makonnen, general and ally","Cinematic historical portrait/scene, Ras Makonnen, general and ally, Empire d'Éthiopie, 19th-century documentary realism, dramatic lighting, high detail, photorealistic, --ar 16:9","Ras Makonnen, general and ally. Style: epic historical documentary, volumetric light, muted earthy palette, motion-ready composition, 16:9","Ras Makonnen, general and ally, historical documentary, cinematic lighting, ultra detailed, 35mm film, dramatic mood --ar 16:9 --style raw"
P09,Hook,"Portrait — General Oreste Baratieri, Italian commander","Cinematic historical portrait/scene, General Oreste Baratieri, Italian commander, Empire d'Éthiopie, 19th-century documentary realism, dramatic lighting, high detail, photorealistic, --ar 16:9","General Oreste Baratieri, Italian commander. Style: epic historical documentary, volumetric light, muted earthy palette, motion-ready composition, 16:9","General Oreste Baratieri, Italian commander, historical documentary, cinematic lighting, ultra detailed, 35mm film, dramatic mood --ar 16:9 --style raw"
P10,Contexte,"Portrait — Ménélik II as elder emperor, reflective","Cinematic historical portrait/scene, Ménélik II as elder emperor, reflective, Empire d'Éthiopie, 19th-century documentary realism, dramatic lighting, high detail, photorealistic, --ar 16:9","Ménélik II as elder emperor, reflective. Style: epic historical documentary, volumetric light, muted earthy palette, motion-ready composition, 16:9","Ménélik II as elder emperor, reflective, historical documentary, cinematic lighting, ultra detailed, 35mm film, dramatic mood --ar 16:9 --style raw"
