Scene_ID,Chapitre,Description,Prompt_Whisk,Prompt_Flow,Prompt_Midjourney
P01,Hook,"Portrait — El Hadj Omar Tall, close-up face, intense determined gaze","Cinematic historical portrait/scene, El Hadj Omar Tall, close-up face, intense determined gaze, Empire toucouleur, 19th-century documentary realism, dramatic lighting, high detail, photorealistic, --ar 16:9","El Hadj Omar Tall, close-up face, intense determined gaze. Style: epic historical documentary, volumetric light, muted earthy palette, motion-ready composition, 16:9","El Hadj Omar Tall, close-up face, intense determined gaze, historical documentary, cinematic lighting, ultra detailed, 35mm film, dramatic mood --ar 16:9 --style raw"
P02,Contexte,"Portrait — El Hadj Omar Tall in religious scholar robes, half body","Cinematic historical portrait/scene, El Hadj Omar Tall in religious scholar robes, half body, Empire toucouleur, 19th-century documentary realism, dramatic lighting, high detail, photorealistic, --ar 16:9","El Hadj Omar Tall in religious scholar robes, half body. Style: epic historical documentary, volumetric light, muted earthy palette, motion-ready composition, 16:9","El Hadj Omar Tall in religious scholar robes, half body, historical documentary, cinematic lighting, ultra detailed, 35mm film, dramatic mood --ar 16:9 --style raw"
P03,Ascension,"Portrait — El Hadj Omar Tall as a young pilgrim scholar, hopeful","Cinematic historical portrait/scene, El Hadj Omar Tall as a young pilgrim scholar, hopeful, Empire toucouleur, 19th-century documentary realism, dramatic lighting, high detail, photorealistic, --ar 16:9","El Hadj Omar Tall as a young pilgrim scholar, hopeful. Style: epic historical documentary, volumetric light, muted earthy palette, motion-ready composition, 16:9","El Hadj Omar Tall as a young pilgrim scholar, hopeful, historical documentary, cinematic lighting, ultra detailed, 35mm film, dramatic mood --ar 16:9 --style raw"
P04,Guerre,"Portrait — El Hadj Omar Tall in council with lieutenants","Cinematic historical portrait/scene, El Hadj Omar Tall in council with lieutenants, Empire toucouleur, 19th-century documentary realism, dramatic lighting, high detail, photorealistic, --ar 16:9","El Hadj Omar Tall in council with lieutenants. Style: epic historical documentary, volumetric light, muted earthy palette, motion-ready composition, 16:9","El Hadj Omar Tall in council with lieutenants, historical documentary, cinematic lighting, ultra detailed, 35mm film, dramatic mood --ar 16:9 --style raw"
P05,Contre-offensive,"Portrait — El Hadj Omar Tall leading talibés before battle","Cinematic historical portrait/scene, El Hadj Omar Tall leading talibés before battle, Empire toucouleur, 19th-century documentary realism, dramatic lighting, high detail, photorealistic, --ar 16:9","El Hadj Omar Tall leading talibés before battle. Style: epic historical documentary, volumetric light, muted earthy palette, motion-ready composition, 16:9","El Hadj Omar Tall leading talibés before battle, historical documentary, cinematic lighting, ultra detailed, 35mm film, dramatic mood --ar 16:9 --style raw"
P06,Chute,"Portrait — El Hadj Omar Tall weary in his final years, dignified","Cinematic historical portrait/scene, El Hadj Omar Tall weary in his final years, dignified, Empire toucouleur, 19th-century documentary realism, dramatic lighting, high detail, photorealistic, --ar 16:9","El Hadj Omar Tall weary in his final years, dignified. Style: epic historical documentary, volumetric light, muted earthy palette, motion-ready composition, 16:9","El Hadj Omar Tall weary in his final years, dignified, historical documentary, cinematic lighting, ultra detailed, 35mm film, dramatic mood --ar 16:9 --style raw"
P07,Oubli,"Portrait — El Hadj Omar Tall portrait in profile, symbolic","Cinematic historical portrait/scene, El Hadj Omar Tall portrait in profile, symbolic, Empire toucouleur, 19th-century documentary realism, dramatic lighting, high detail, photorealistic, --ar 16:9","El Hadj Omar Tall portrait in profile, symbolic. Style: epic historical documentary, volumetric light, muted earthy palette, motion-ready composition, 16:9","El Hadj Omar Tall portrait in profile, symbolic, historical documentary, cinematic lighting, ultra detailed, 35mm film, dramatic mood --ar 16:9 --style raw"
P08,Héritage,"Portrait — a talibé lieutenant, devoted follower","Cinematic historical portrait/scene, a talibé lieutenant, devoted follower, Empire toucouleur, 19th-century documentary realism, dramatic lighting, high detail, photorealistic, --ar 16:9","a talibé lieutenant, devoted follower. Style: epic historical documentary, volumetric light, muted earthy palette, motion-ready composition, 16:9","a talibé lieutenant, devoted follower, historical documentary, cinematic lighting, ultra detailed, 35mm film, dramatic mood --ar 16:9 --style raw"
P09,Hook,"Portrait — Governor Louis Faidherbe, French adversary","Cinematic historical portrait/scene, Governor Louis Faidherbe, French adversary, Empire toucouleur, 19th-century documentary realism, dramatic lighting, high detail, photorealistic, --ar 16:9","Governor Louis Faidherbe, French adversary. Style: epic historical documentary, volumetric light, muted earthy palette, motion-ready composition, 16:9","Governor Louis Faidherbe, French adversary, historical documentary, cinematic lighting, ultra detailed, 35mm film, dramatic mood --ar 16:9 --style raw"
P10,Contexte,"Portrait — El Hadj Omar Tall as elder, reflective","Cinematic historical portrait/scene, El Hadj Omar Tall as elder, reflective, Empire toucouleur, 19th-century documentary realism, dramatic lighting, high detail, photorealistic, --ar 16:9","El Hadj Omar Tall as elder, reflective. Style: epic historical documentary, volumetric light, muted earthy palette, motion-ready composition, 16:9","El Hadj Omar Tall as elder, reflective, historical documentary, cinematic lighting, ultra detailed, 35mm film, dramatic mood --ar 16:9 --style raw"
S01,Ascension,"Scène historique — Quranic school and scholars of Empire toucouleur","Cinematic historical portrait/scene, Quranic school and scholars of Empire toucouleur, Empire toucouleur, 19th-century documentary realism, dramatic lighting, high detail, photorealistic, --ar 16:9","Quranic school and scholars of Empire toucouleur. Style: epic historical documentary, volumetric light, muted earthy palette, motion-ready composition, 16:9","Quranic school and scholars of Empire toucouleur, historical documentary, cinematic lighting, ultra detailed, 35mm film, dramatic mood --ar 16:9 --style raw"
S02,Guerre,"Scène historique — caravan crossing the Sahel before the war","Cinematic historical portrait/scene, caravan crossing the Sahel before the war, Empire toucouleur, 19th-century documentary realism, dramatic lighting, high detail, photorealistic, --ar 16:9","caravan crossing the Sahel before the war. Style: epic historical documentary, volumetric light, muted earthy palette, motion-ready composition, 16:9","caravan crossing the Sahel before the war, historical documentary, cinematic lighting, ultra detailed, 35mm film, dramatic mood --ar 16:9 --style raw"
