Scene_ID,Chapitre,Description,Prompt_Whisk,Prompt_Flow,Prompt_Midjourney
P01,Hook,"Portrait — Béhanzin, close-up face, intense determined gaze","Cinematic historical portrait/scene, Béhanzin, close-up face, intense determined gaze, Royaume du Dahomey, 19th-century documentary realism, dramatic lighting, high detail, photorealistic, --ar 16:9","Béhanzin, close-up face, intense determined gaze. Style: epic historical documentary, volumetric light, muted earthy palette, motion-ready composition, 16:9","Béhanzin, close-up face, intense determined gaze, historical documentary, cinematic lighting, ultra detailed, 35mm film, dramatic mood --ar 16:9 --style raw"
P02,Contexte,"Portrait — Béhanzin in royal/traditional regalia, half body","Cinematic historical portrait/scene, Béhanzin in royal/traditional regalia, half body, Royaume du Dahomey, 19th-century documentary realism, dramatic lighting, high detail, photorealistic, --ar 16:9","Béhanzin in royal/traditional regalia, half body. Style: epic historical documentary, volumetric light, muted earthy palette, motion-ready composition, 16:9","Béhanzin in royal/traditional regalia, half body, historical documentary, cinematic lighting, ultra detailed, 35mm film, dramatic mood --ar 16:9 --style raw"
P03,Ascension,"Portrait — Béhanzin as a young leader, hopeful expression","Cinematic historical portrait/scene, Béhanzin as a young leader, hopeful expression, Royaume du Dahomey, 19th-century documentary realism, dramatic lighting, high detail, photorealistic, --ar 16:9","Béhanzin as a young leader, hopeful expression. Style: epic historical documentary, volumetric light, muted earthy palette, motion-ready composition, 16:9","Béhanzin as a young leader, hopeful expression, historical documentary, cinematic lighting, ultra detailed, 35mm film, dramatic mood --ar 16:9 --style raw"
P04,Guerre,"Portrait — Béhanzin in council with advisors","Cinematic historical portrait/scene, Béhanzin in council with advisors, Royaume du Dahomey, 19th-century documentary realism, dramatic lighting, high detail, photorealistic, --ar 16:9","Béhanzin in council with advisors. Style: epic historical documentary, volumetric light, muted earthy palette, motion-ready composition, 16:9","Béhanzin in council with advisors, historical documentary, cinematic lighting, ultra detailed, 35mm film, dramatic mood --ar 16:9 --style raw"
P05,Contre-offensive,"Portrait — Béhanzin in war attire before battle","Cinematic historical portrait/scene, Béhanzin in war attire before battle, Royaume du Dahomey, 19th-century documentary realism, dramatic lighting, high detail, photorealistic, --ar 16:9","Béhanzin in war attire before battle. Style: epic historical documentary, volumetric light, muted earthy palette, motion-ready composition, 16:9","Béhanzin in war attire before battle, historical documentary, cinematic lighting, ultra detailed, 35mm film, dramatic mood --ar 16:9 --style raw"
P06,Chute,"Portrait — Béhanzin weary after defeat, dignified","Cinematic historical portrait/scene, Béhanzin weary after defeat, dignified, Royaume du Dahomey, 19th-century documentary realism, dramatic lighting, high detail, photorealistic, --ar 16:9","Béhanzin weary after defeat, dignified. Style: epic historical documentary, volumetric light, muted earthy palette, motion-ready composition, 16:9","Béhanzin weary after defeat, dignified, historical documentary, cinematic lighting, ultra detailed, 35mm film, dramatic mood --ar 16:9 --style raw"
P07,Oubli,"Portrait — Béhanzin portrait in profile, symbolic","Cinematic historical portrait/scene, Béhanzin portrait in profile, symbolic, Royaume du Dahomey, 19th-century documentary realism, dramatic lighting, high detail, photorealistic, --ar 16:9","Béhanzin portrait in profile, symbolic. Style: epic historical documentary, volumetric light, muted earthy palette, motion-ready composition, 16:9","Béhanzin portrait in profile, symbolic, historical documentary, cinematic lighting, ultra detailed, 35mm film, dramatic mood --ar 16:9 --style raw"
P08,Héritage,"Portrait — a key ally of Béhanzin, supporting figure","Cinematic historical portrait/scene, a key ally of Béhanzin, supporting figure, Royaume du Dahomey, 19th-century documentary realism, dramatic lighting, high detail, photorealistic, --ar 16:9","a key ally of Béhanzin, supporting figure. Style: epic historical documentary, volumetric light, muted earthy palette, motion-ready composition, 16:9","a key ally of Béhanzin, supporting figure, historical documentary, cinematic lighting, ultra detailed, 35mm film, dramatic mood --ar 16:9 --style raw"
P09,Hook,"Portrait — the main adversary facing Béhanzin","Cinematic historical portrait/scene, the main adversary facing Béhanzin, Royaume du Dahomey, 19th-century documentary realism, dramatic lighting, high detail, photorealistic, --ar 16:9","the main adversary facing Béhanzin. Style: epic historical documentary, volumetric light, muted earthy palette, motion-ready composition, 16:9","the main adversary facing Béhanzin, historical documentary, cinematic lighting, ultra detailed, 35mm film, dramatic mood --ar 16:9 --style raw"
P10,Contexte,"Portrait — Béhanzin elder/in exile, reflective","Cinematic historical portrait/scene, Béhanzin elder/in exile, reflective, Royaume du Dahomey, 19th-century documentary realism, dramatic lighting, high detail, photorealistic, --ar 16:9","Béhanzin elder/in exile, reflective. Style: epic historical documentary, volumetric light, muted earthy palette, motion-ready composition, 16:9","Béhanzin elder/in exile, reflective, historical documentary, cinematic lighting, ultra detailed, 35mm film, dramatic mood --ar 16:9 --style raw"
S01,Ascension,"Scène historique — royal court of Royaume du Dahomey, ceremony","Cinematic historical portrait/scene, royal court of Royaume du Dahomey, ceremony, Royaume du Dahomey, 19th-century documentary realism, dramatic lighting, high detail, photorealistic, --ar 16:9","royal court of Royaume du Dahomey, ceremony. Style: epic historical documentary, volumetric light, muted earthy palette, motion-ready composition, 16:9","royal court of Royaume du Dahomey, ceremony, historical documentary, cinematic lighting, ultra detailed, 35mm film, dramatic mood --ar 16:9 --style raw"
S02,Guerre,"Scène historique — daily life in Royaume du Dahomey before the war","Cinematic historical portrait/scene, daily life in Royaume du Dahomey before the war, Royaume du Dahomey, 19th-century documentary realism, dramatic lighting, high detail, photorealistic, --ar 16:9","daily life in Royaume du Dahomey before the war. Style: epic historical documentary, volumetric light, muted earthy palette, motion-ready composition, 16:9","daily life in Royaume du Dahomey before the war, historical documentary, cinematic lighting, ultra detailed, 35mm film, dramatic mood --ar 16:9 --style raw"
S03,Contre-offensive,"Scène historique — army of Béhanzin marching","Cinematic historical portrait/scene, army of Béhanzin marching, Royaume du Dahomey, 19th-century documentary realism, dramatic lighting, high detail, photorealistic, --ar 16:9","army of Béhanzin marching. Style: epic historical documentary, volumetric light, muted earthy palette, motion-ready composition, 16:9","army of Béhanzin marching, historical documentary, cinematic lighting, ultra detailed, 35mm film, dramatic mood --ar 16:9 --style raw"
S04,Chute,"Scène historique — major battle of the conflict, chaos and smoke","Cinematic historical portrait/scene, major battle of the conflict, chaos and smoke, Royaume du Dahomey, 19th-century documentary realism, dramatic lighting, high detail, photorealistic, --ar 16:9","major battle of the conflict, chaos and smoke. Style: epic historical documentary, volumetric light, muted earthy palette, motion-ready composition, 16:9","major battle of the conflict, chaos and smoke, historical documentary, cinematic lighting, ultra detailed, 35mm film, dramatic mood --ar 16:9 --style raw"
S05,Oubli,"Scène historique — colonial troops advancing with artillery","Cinematic historical portrait/scene, colonial troops advancing with artillery, Royaume du Dahomey, 19th-century documentary realism, dramatic lighting, high detail, photorealistic, --ar 16:9","colonial troops advancing with artillery. Style: epic historical documentary, volumetric light, muted earthy palette, motion-ready composition, 16:9","colonial troops advancing with artillery, historical documentary, cinematic lighting, ultra detailed, 35mm film, dramatic mood --ar 16:9 --style raw"
S06,Héritage,"Scène historique — siege / fortified position under attack","Cinematic historical portrait/scene, siege / fortified position under attack, Royaume du Dahomey, 19th-century documentary realism, dramatic lighting, high detail, photorealistic, --ar 16:9","siege / fortified position under attack. Style: epic historical documentary, volumetric light, muted earthy palette, motion-ready composition, 16:9","siege / fortified position under attack, historical documentary, cinematic lighting, ultra detailed, 35mm film, dramatic mood --ar 16:9 --style raw"
