Scene_ID,Chapitre,Description,Prompt_Whisk,Prompt_Flow,Prompt_Midjourney
P01,Hook,"Portrait — [SUJET], close-up face, intense expression","Cinematic historical portrait/scene, [SUJET] close-up face intense expression, [REGION], documentary realism, dramatic lighting, high detail, photorealistic, --ar 16:9","[SUJET] close-up face intense expression. Style: epic historical documentary, volumetric light, muted earthy palette, 16:9","[SUJET] close-up face intense expression, historical documentary, cinematic lighting, ultra detailed, dramatic mood --ar 16:9 --style raw"
P02,Contexte,"Portrait — [SUJET] in regalia, half body","Cinematic historical portrait/scene, [SUJET] in regalia half body, [REGION], documentary realism, dramatic lighting, high detail, photorealistic, --ar 16:9","[SUJET] in regalia half body. Style: epic historical documentary, volumetric light, muted earthy palette, 16:9","[SUJET] in regalia half body, historical documentary, cinematic lighting, ultra detailed, dramatic mood --ar 16:9 --style raw"
P03,Ascension,"Portrait — [SUJET] younger, hopeful","Cinematic historical portrait/scene, [SUJET] younger hopeful, [REGION], documentary realism, dramatic lighting, high detail, photorealistic, --ar 16:9","[SUJET] younger hopeful. Style: epic historical documentary, volumetric light, muted earthy palette, 16:9","[SUJET] younger hopeful, historical documentary, cinematic lighting, ultra detailed, dramatic mood --ar 16:9 --style raw"
P04,Guerre,"Portrait — [SUJET] in council","Cinematic historical portrait/scene, [SUJET] in council, [REGION], documentary realism, dramatic lighting, high detail, photorealistic, --ar 16:9","[SUJET] in council. Style: epic historical documentary, volumetric light, muted earthy palette, 16:9","[SUJET] in council, historical documentary, cinematic lighting, ultra detailed, dramatic mood --ar 16:9 --style raw"
P05,Contre-offensive,"Portrait — [SUJET] before action","Cinematic historical portrait/scene, [SUJET] before action, [REGION], documentary realism, dramatic lighting, high detail, photorealistic, --ar 16:9","[SUJET] before action. Style: epic historical documentary, volumetric light, muted earthy palette, 16:9","[SUJET] before action, historical documentary, cinematic lighting, ultra detailed, dramatic mood --ar 16:9 --style raw"
P06,Chute,"Portrait — [SUJET] weary, dignified","Cinematic historical portrait/scene, [SUJET] weary dignified, [REGION], documentary realism, dramatic lighting, high detail, photorealistic, --ar 16:9","[SUJET] weary dignified. Style: epic historical documentary, volumetric light, muted earthy palette, 16:9","[SUJET] weary dignified, historical documentary, cinematic lighting, ultra detailed, dramatic mood --ar 16:9 --style raw"
P07,Oubli,"Portrait — [SUJET] in profile, symbolic","Cinematic historical portrait/scene, [SUJET] in profile symbolic, [REGION], documentary realism, dramatic lighting, high detail, photorealistic, --ar 16:9","[SUJET] in profile symbolic. Style: epic historical documentary, volumetric light, muted earthy palette, 16:9","[SUJET] in profile symbolic, historical documentary, cinematic lighting, ultra detailed, dramatic mood --ar 16:9 --style raw"
P08,Héritage,"Portrait — an ally of [SUJET]","Cinematic historical portrait/scene, an ally of [SUJET], [REGION], documentary realism, dramatic lighting, high detail, photorealistic, --ar 16:9","an ally of [SUJET]. Style: epic historical documentary, volumetric light, muted earthy palette, 16:9","an ally of [SUJET], historical documentary, cinematic lighting, ultra detailed, dramatic mood --ar 16:9 --style raw"
P09,Hook,"Portrait — the main adversary of [SUJET]","Cinematic historical portrait/scene, the main adversary of [SUJET], [REGION], documentary realism, dramatic lighting, high detail, photorealistic, --ar 16:9","the main adversary of [SUJET]. Style: epic historical documentary, volumetric light, muted earthy palette, 16:9","the main adversary of [SUJET], historical documentary, cinematic lighting, ultra detailed, dramatic mood --ar 16:9 --style raw"
P10,Contexte,"Portrait — [SUJET] elder, reflective","Cinematic historical portrait/scene, [SUJET] elder reflective, [REGION], documentary realism, dramatic lighting, high detail, photorealistic, --ar 16:9","[SUJET] elder reflective. Style: epic historical documentary, volumetric light, muted earthy palette, 16:9","[SUJET] elder reflective, historical documentary, cinematic lighting, ultra detailed, dramatic mood --ar 16:9 --style raw"
