Scene_ID,Chapitre,Description,Prompt_Whisk,Prompt_Flow,Prompt_Midjourney
P01,Hook,"Portrait — Lat Dior Ngoné Latyr Diop, close-up face, intense determined gaze","Cinematic historical portrait/scene, Lat Dior Ngoné Latyr Diop, close-up face, intense determined gaze, Royaume du Cayor, 19th-century documentary realism, dramatic lighting, high detail, photorealistic, --ar 16:9","Lat Dior Ngoné Latyr Diop, close-up face, intense determined gaze. Style: epic historical documentary, volumetric light, muted earthy palette, motion-ready composition, 16:9","Lat Dior Ngoné Latyr Diop, close-up face, intense determined gaze, historical documentary, cinematic lighting, ultra detailed, 35mm film, dramatic mood --ar 16:9 --style raw"
P02,Contexte,"Portrait — Lat Dior Ngoné Latyr Diop in royal/traditional regalia, half body","Cinematic historical portrait/scene, Lat Dior Ngoné Latyr Diop in royal/traditional regalia, half body, Royaume du Cayor, 19th-century documentary realism, dramatic lighting, high detail, photorealistic, --ar 16:9","Lat Dior Ngoné Latyr Diop in royal/traditional regalia, half body. Style: epic historical documentary, volumetric light, muted earthy palette, motion-ready composition, 16:9","Lat Dior Ngoné Latyr Diop in royal/traditional regalia, half body, historical documentary, cinematic lighting, ultra detailed, 35mm film, dramatic mood --ar 16:9 --style raw"
P03,Ascension,"Portrait — Lat Dior Ngoné Latyr Diop as a young leader, hopeful expression","Cinematic historical portrait/scene, Lat Dior Ngoné Latyr Diop as a young leader, hopeful expression, Royaume du Cayor, 19th-century documentary realism, dramatic lighting, high detail, photorealistic, --ar 16:9","Lat Dior Ngoné Latyr Diop as a young leader, hopeful expression. Style: epic historical documentary, volumetric light, muted earthy palette, motion-ready composition, 16:9","Lat Dior Ngoné Latyr Diop as a young leader, hopeful expression, historical documentary, cinematic lighting, ultra detailed, 35mm film, dramatic mood --ar 16:9 --style raw"
P04,Guerre,"Portrait — Lat Dior Ngoné Latyr Diop in council with advisors","Cinematic historical portrait/scene, Lat Dior Ngoné Latyr Diop in council with advisors, Royaume du Cayor, 19th-century documentary realism, dramatic lighting, high detail, photorealistic, --ar 16:9","Lat Dior Ngoné Latyr Diop in council with advisors. Style: epic historical documentary, volumetric light, muted earthy palette, motion-ready composition, 16:9","Lat Dior Ngoné Latyr Diop in council with advisors, historical documentary, cinematic lighting, ultra detailed, 35mm film, dramatic mood --ar 16:9 --style raw"
P05,Contre-offensive,"Portrait — Lat Dior Ngoné Latyr Diop in war attire before battle","Cinematic historical portrait/scene, Lat Dior Ngoné Latyr Diop in war attire before battle, Royaume du Cayor, 19th-century documentary realism, dramatic lighting, high detail, photorealistic, --ar 16:9","Lat Dior Ngoné Latyr Diop in war attire before battle. Style: epic historical documentary, volumetric light, muted earthy palette, motion-ready composition, 16:9","Lat Dior Ngoné Latyr Diop in war attire before battle, historical documentary, cinematic lighting, ultra detailed, 35mm film, dramatic mood --ar 16:9 --style raw"
P06,Chute,"Portrait — Lat Dior Ngoné Latyr Diop weary after defeat, dignified","Cinematic historical portrait/scene, Lat Dior Ngoné Latyr Diop weary after defeat, dignified, Royaume du Cayor, 19th-century documentary realism, dramatic lighting, high detail, photorealistic, --ar 16:9","Lat Dior Ngoné Latyr Diop weary after defeat, dignified. Style: epic historical documentary, volumetric light, muted earthy palette, motion-ready composition, 16:9","Lat Dior Ngoné Latyr Diop weary after defeat, dignified, historical documentary, cinematic lighting, ultra detailed, 35mm film, dramatic mood --ar 16:9 --style raw"
P07,Oubli,"Portrait — Lat Dior Ngoné Latyr Diop portrait in profile, symbolic","Cinematic historical portrait/scene, Lat Dior Ngoné Latyr Diop portrait in profile, symbolic, Royaume du Cayor, 19th-century documentary realism, dramatic lighting, high detail, photorealistic, --ar 16:9","Lat Dior Ngoné Latyr Diop portrait in profile, symbolic. Style: epic historical documentary, volumetric light, muted earthy palette, motion-ready composition, 16:9","Lat Dior Ngoné Latyr Diop portrait in profile, symbolic, historical documentary, cinematic lighting, ultra detailed, 35mm film, dramatic mood --ar 16:9 --style raw"
P08,Héritage,"Portrait — a key ally of Lat Dior Ngoné Latyr Diop, supporting figure","Cinematic historical portrait/scene, a key ally of Lat Dior Ngoné Latyr Diop, supporting figure, Royaume du Cayor, 19th-century documentary realism, dramatic lighting, high detail, photorealistic, --ar 16:9","a key ally of Lat Dior Ngoné Latyr Diop, supporting figure. Style: epic historical documentary, volumetric light, muted earthy palette, motion-ready composition, 16:9","a key ally of Lat Dior Ngoné Latyr Diop, supporting figure, historical documentary, cinematic lighting, ultra detailed, 35mm film, dramatic mood --ar 16:9 --style raw"
P09,Hook,"Portrait — the main adversary facing Lat Dior Ngoné Latyr Diop","Cinematic historical portrait/scene, the main adversary facing Lat Dior Ngoné Latyr Diop, Royaume du Cayor, 19th-century documentary realism, dramatic lighting, high detail, photorealistic, --ar 16:9","the main adversary facing Lat Dior Ngoné Latyr Diop. Style: epic historical documentary, volumetric light, muted earthy palette, motion-ready composition, 16:9","the main adversary facing Lat Dior Ngoné Latyr Diop, historical documentary, cinematic lighting, ultra detailed, 35mm film, dramatic mood --ar 16:9 --style raw"
P10,Contexte,"Portrait — Lat Dior Ngoné Latyr Diop elder/in exile, reflective","Cinematic historical portrait/scene, Lat Dior Ngoné Latyr Diop elder/in exile, reflective, Royaume du Cayor, 19th-century documentary realism, dramatic lighting, high detail, photorealistic, --ar 16:9","Lat Dior Ngoné Latyr Diop elder/in exile, reflective. Style: epic historical documentary, volumetric light, muted earthy palette, motion-ready composition, 16:9","Lat Dior Ngoné Latyr Diop elder/in exile, reflective, historical documentary, cinematic lighting, ultra detailed, 35mm film, dramatic mood --ar 16:9 --style raw"
